  1.2800000e-001  9.2058371e-001  9.1316159e-001  9.3076181e-001  9.1627672e-001  9.2516171e-001  8.9843924e-001  9.2102674e-001  9.1201604e-001  9.1216656e-001  9.2308034e-001
  1.3600000e-001  9.1669660e-001  9.2612309e-001  9.0525924e-001  9.2249745e-001  9.0512170e-001  9.0207336e-001  9.1242618e-001  9.0895739e-001  9.0511494e-001  9.1750098e-001
  1.4400000e-001  9.0955269e-001  9.1698907e-001  9.1996628e-001  9.1931354e-001  9.2411327e-001  8.9607752e-001  9.0596181e-001  9.0777341e-001  9.0486783e-001  9.1816585e-001
  1.5200000e-001  8.9285584e-001  8.9038317e-001  9.2378591e-001  9.1851806e-001  8.9919602e-001  8.8408769e-001  9.0337458e-001  9.0333274e-001  9.1017815e-001  9.0027822e-001
  1.6000000e-001  8.9648886e-001  9.0874205e-001  8.9015304e-001  9.0313170e-001  8.9245212e-001  8.6982627e-001  9.0051850e-001  8.7803986e-001  8.8798217e-001  8.9658398e-001
  1.6800000e-001  8.8600185e-001  9.1385285e-001  8.9386559e-001  8.7608539e-001  9.0202331e-001  8.8111514e-001  8.8783005e-001  8.8571659e-001  8.9433834e-001  8.9593902e-001
  1.7600000e-001  8.9100485e-001  8.8096786e-001  9.0815296e-001  9.1059236e-001  8.8515201e-001  8.8098358e-001  8.8868954e-001  8.8441375e-001  8.8311643e-001  8.8079136e-001
  1.8400000e-001  8.7597176e-001  8.8503915e-001  8.6856331e-001  8.9384061e-001  8.8111482e-001  8.4857621e-001  8.8594537e-001  8.8163862e-001  8.7455807e-001  8.7604541e-001
  1.9200000e-001  8.8700969e-001  8.6898282e-001  8.7906912e-001  8.5991241e-001  8.8639065e-001  8.6779394e-001  8.7486888e-001  8.8074621e-001  8.6540535e-001  8.7154922e-001
  2.0000000e-001  8.8054098e-001  8.6370783e-001  8.6156285e-001  8.8099233e-001  8.6620703e-001  8.6072509e-001  8.7235445e-001  8.7816479e-001  8.5796077e-001  8.5588070e-001
  2.0800000e-001  8.8238177e-001  8.6978189e-001  8.8838059e-001  8.6428057e-001  8.7398909e-001  8.5766907e-001  8.7645928e-001  8.7015308e-001  8.7306716e-001  8.7016672e-001
  2.1600000e-001  8.7269707e-001  8.7616292e-001  8.5742899e-001  8.7405021e-001  8.7043409e-001  8.4448115e-001  8.6875457e-001  8.7987383e-001  8.5790749e-001  8.6727104e-001
  2.2400000e-001  8.7255891e-001  8.6395777e-001  8.6388721e-001  8.5988182e-001  8.7686241e-001  8.4375480e-001  8.6766522e-001  8.5741551e-001  8.6093617e-001  8.7523529e-001
