  0.0000000e+000             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN
  3.3780775e-002  0.0000000e+000  3.3780775e-002  3.3780775e-002  3.3780775e-002  3.3780775e-002  3.3780775e-002  3.3780775e-002  3.3780775e-002  3.3780775e-002
  5.4113939e-002  5.4113939e-002  0.0000000e+000  5.4113939e-002  5.4113939e-002  5.4113939e-002  5.4113939e-002  5.4113939e-002  5.4113939e-002  5.4113939e-002
  4.0418394e-002  4.0418394e-002  4.0418394e-002  0.0000000e+000  4.0418394e-002  4.0418394e-002  4.0418394e-002  4.0418394e-002  4.0418394e-002  4.0418394e-002
  1.2877789e-001  1.2877789e-001  1.2877789e-001  1.2877789e-001  0.0000000e+000  1.2877789e-001  1.2877789e-001  1.2877789e-001  1.2877789e-001  1.2877789e-001
  2.4127461e-001  2.4127461e-001  2.4127461e-001  2.4127461e-001  2.4127461e-001  0.0000000e+000  2.4127461e-001  2.4127461e-001  2.4127461e-001  2.4127461e-001
  1.3952762e-001  1.3952762e-001  1.3952762e-001  1.3952762e-001  1.3952762e-001  1.3952762e-001  0.0000000e+000  1.3952762e-001  1.3952762e-001  1.3952762e-001
  6.7580168e-001  6.7580168e-001  6.7580168e-001  6.7580168e-001  6.7580168e-001  6.7580168e-001  6.7580168e-001  0.0000000e+000  6.7580168e-001  6.7580168e-001
  4.5194122e-002  4.5194122e-002  4.5194122e-002  4.5194122e-002  4.5194122e-002  4.5194122e-002  4.5194122e-002  4.5194122e-002  0.0000000e+000  4.5194122e-002
  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  7.0623465e-001  0.0000000e+000
